ub_dot,vb_dot,wb_dot,pb_dot,qb_dot,rb_dot,latitude_dot,longitude_dot,altitude_dot,phi_dot,theta_dot,psi_dot
4.0829870731914e-05,3.90966997132626e-05,-0.000622780673607767,8.35278669526047e-07,4.65374637827518e-05,2.324576906721e-06,-8.24562938896453e-06,3.29948386719396e-11,-8.21092324686523,9.82227435729665e-06,-2.36817285108532e-06,-9.31239887378363e-06
3.9706161161229e-05,3.85962492440702e-05,-0.000613430074072148,8.18007103370195e-07,4.68606346715442e-05,2.35710824894306e-06,-8.2456294103689e-06,3.34932778051543e-11,-8.21092209655096,9.82640782541994e-06,-2.13466666653238e-06,-9.30069130920899e-06
3.85451160311094e-05,3.80702449949155e-05,-0.000603973668234171,8.00584662432265e-07,4.71583185783546e-05,2.38839118467096e-06,-8.24562943196018e-06,3.39912672748346e-11,-8.2109207913629,9.83045451381661e-06,-1.89960850801837e-06,-9.28882415797251e-06
3.73476510869103e-05,3.75198227074954e-05,-0.000594433810313442,7.83094561727628e-07,4.74308983686115e-05,2.41840555178602e-06,-8.24562945373245e-06,3.44888062594426e-11,-8.21091933049115,9.83441387673862e-06,-1.66312486744263e-06,-9.27680371471335e-06
3.61146566577869e-05,3.69461340210299e-05,-0.000584832170869495,7.65618467506465e-07,4.76787910281051e-05,2.44713317949559e-06,-8.2456294756798e-06,3.49858939331649e-11,-8.21091771312389,9.8382857807103e-06,-1.42534023621058e-06,-9.2646363698891e-06
3.48469969310271e-05,3.63503447229907e-05,-0.000575189720562231,7.48236257921634e-07,4.79024455520863e-05,2.47455787838195e-06,-8.24562949779626e-06,3.54825294484714e-11,-8.21091593844906,9.84207049622502e-06,-1.18637693989804e-06,-9.25232859984677e-06
3.35455092808253e-05,3.57336330246971e-05,-0.000565526716001068,7.3102583537183e-07,4.81023408700955e-05,2.50066541847711e-06,-8.24562952007583e-06,3.59787119469946e-11,-8.21091400565594,9.84576868831769e-06,-9.46354983403966e-07,-9.23988695697117e-06
3.2211003686217e-05,3.50971878328105e-05,-0.000555862687521226,7.14062932717198e-07,4.82789837822262e-05,2.52544351028684e-06,-8.24562954251248e-06,3.64744405569985e-11,-8.2109119139367,9.84938140618325e-06,-7.05391906457805e-07,-9.22731805992924e-06
3.08442622307681e-05,3.44422070483119e-05,-0.000546216428658387,6.9742092494653e-07,4.84329069179005e-05,2.54888178277408e-06,-8.24562956510015e-06,3.69697143959766e-11,-8.21090966248788,9.85291007186764e-06,-4.63602649371693e-07,-9.21462858401737e-06
2.94460386483981e-05,3.37698958716242e-05,-0.000536605987726805,6.81170667564713e-07,4.85646667267187e-05,2.57097176272276e-06,-8.24562958783272e-06,3.74645325690987e-11,-8.21090725051179,9.85635646805849e-06,-2.21099428930019e-07,-9.20182525162294e-06
2.8020584141837e-05,3.30814651281898e-05,-0.000527038146325783,6.65562367459178e-07,4.86750023081219e-05,2.59170241016089e-06,-8.24562961070405e-06,3.79588941727723e-11,-8.21090467721788,9.85972272510739e-06,2.20083757466477e-08,-9.18891482279e-06
2.66008313330558e-05,3.23782046910903e-05,-0.000517433758783878,6.52253024230458e-07,4.87658239432613e-05,2.61102385503963e-06,-8.24562963371349e-06,3.84527982961779e-11,-8.21090194216694,9.86301715347615e-06,2.65619322893201e-07,-9.1759042399566e-06
2.51518294476102e-05,3.16613859645634e-05,-0.000507915287192796,6.39418938138741e-07,4.88360182359077e-05,2.62897531020066e-06,-8.24562965685868e-06,3.89462440226013e-11,-8.21089904481832,9.86624618659355e-06,5.09632541022042e-07,-9.1628004453354e-06
2.36742078027667e-05,3.09322293212482e-05,-0.000498497995919073,6.27122947194524e-07,4.88862236346523e-05,2.64555625702333e-06,-8.2456296801334e-06,3.94392304222964e-11,-8.21089598440127,9.8694123591688e-06,7.53946483533904e-07,-9.14961029217334e-06
2.21685663799717e-05,3.01919537776755e-05,-0.000489196375814397,6.15424665307866e-07,4.89170932088007e-05,2.66076792974659e-06,-8.24562970353138e-06,3.99317565689531e-11,-8.2108927601568,9.8725185120847e-06,9.98462833385056e-07,-9.13634063189445e-06
2.06354757918814e-05,2.94417754371267e-05,-0.000480024145441954,6.04380388359788e-07,4.89292928266388e-05,2.67461328511599e-06,-8.24562972704627e-06,4.04238215318163e-11,-8.2108893713387,9.87556777603451e-06,1.24308657160742e-06,-9.12299830540534e-06
1.90754773110033e-05,2.86829059526308e-05,-0.000470994253519881,5.94043015031124e-07,4.89234993725773e-05,2.68709697088436e-06,-8.24562975067169e-06,4.09154243728668e-11,-8.21088581721451,9.87856355473702e-06,1.48772603686034e-06,-9.10959013456127e-06
1.74890829558646e-05,2.79165510257383e-05,-0.000462118882939575,5.84461971756282e-07,4.89003990217052e-05,2.69822528959209e-06,-8.24562977440122e-06,4.14065641490573e-11,-8.21088209706651,9.88150950775464e-06,1.73229297614338e-06,-9.09612291379994e-06
1.58767756232708e-05,2.71439089242871e-05,-0.000453409455980582,5.7568315090046e-07,4.88606855550793e-05,2.70800616475234e-06,-8.24562979822836e-06,4.18972399242285e-11,-8.21087821019249,9.88440953296977e-06,1.97670258702742e-06,-9.0826034019501e-06
1.42390092779801e-05,2.63661690429818e-05,-0.000444876640852106,5.6774886847747e-07,4.88050587124181e-05,2.71644910382403e-06,-8.24562982214659e-06,4.23874507582447e-11,-8.21087415590663,9.88726774880026e-06,2.22087355154537e-06,-9.06903831421716e-06
1.25762091901982e-05,2.55845104809127e-05,-0.000436530359575921,5.60697816915824e-07,4.87342226194543e-05,2.72356516245403e-06,-8.24562984614932e-06,4.28771957104245e-11,-8.21086993354018,9.89008847620769e-06,2.46472806204719e-06,-9.05543431435178e-06
1.08887722260793e-05,2.48001006656852e-05,-0.000428379796785455,5.54565039738733e-07,4.86488842474039e-05,2.72936690426145e-06,-8.24562987022991e-06,4.33664738479886e-11,-8.21086554244218,9.89287622050705e-06,2.70819183923545e-06,-9.04179800700711e-06
9.17706716996333e-06,2.40140939949335e-05,-0.000420433409876169,5.49381919178915e-07,4.85497519354345e-05,2.73386836321437e-06,-8.24562989438168e-06,4.38552842363308e-11,-8.21086098198002,9.89563565308105e-06,2.95119414268208e-06,-9.02813593029266e-06
7.44143509616813e-06,2.32276305299293e-05,-0.000412698940007642,5.45176157932087e-07,4.84375339551799e-05,2.7370850025654e-06,-8.24562991859788e-06,4.43436259435552e-11,-8.21085625154008,9.89837159302872e-06,3.19366777406052e-06,-9.01445454852366e-06
5.68218978581506e-06,2.24418347104371e-05,-0.000405183424045606,5.41971787868966e-07,4.83129371417998e-05,2.73903367497494e-06,-8.24562994287173e-06,4.48314980407248e-11,-8.21085135052814,9.90108898878102e-06,3.43554907336227e-06,-9.00076024517292e-06
3.89961816384818e-06,2.1657814114742e-05,-0.000397893207796393,5.39789181354824e-07,4.81766655761083e-05,2.73973257840782e-06,-8.24562996719639e-06,4.53188996117181e-11,-8.2108462783699,9.90379289977242e-06,3.67677790839553e-06,-8.98705931603519e-06
2.09398080224636e-06,2.08766582531568e-05,-0.000390833959354435,5.38645061850153e-07,4.80294193131868e-05,2.73920121670755e-06,-8.24562999156498e-06,4.58058297402313e-11,-8.21084103451131,9.90648847817916e-06,3.9172976578169e-06,-8.97335796258988e-06
2.65512420126267e-07,2.00994374003388e-05,-0.000384010684185231,5.38552543656337e-07,4.78718931847944e-05,2.73746035469958e-06,-8.24563001597055e-06,4.62922875202739e-11,-8.21083561841894,9.90918095074879e-06,4.1570551879752e-06,-8.95966228559047e-06
-1.58557756691127e-06,1.93272014696487e-05,-0.000377427740188159,5.39521166047296e-07,4.77047756393414e-05,2.73453197582806e-06,-8.24563004040612e-06,4.67782720530601e-11,-8.21083002958027,9.91187560085197e-06,4.39600082387745e-06,-8.94597827886933e-06
-3.45910445821524e-06,1.85609789245104e-05,-0.000371088853659313,5.41556934863437e-07,4.75287476422815e-05,2.73043923429157e-06,-8.24563006486466e-06,4.72637824441895e-11,-8.21082426750387,9.91457775069403e-06,4.63408831449643e-06,-8.93231182335268e-06
-5.35490768229195e-06,1.78017757296229e-05,-0.000364997136151076,5.4466237896806e-07,4.73444816457522e-05,2.72520641492065e-06,-8.2456300893391e-06,4.77488178103805e-11,-8.21081833171965,9.91729274379813e-06,4.87127479276019e-06,-8.91866868131335e-06
-7.27285015366553e-06,1.70505743469658e-05,-0.000359155101543739,5.48836607987636e-07,4.71526405924513e-05,2.71885888214746e-06,-8.24563011382231e-06,4.82333772818349e-11,-8.21081222177894,9.92002592775035e-06,5.10752073047565e-06,-8.90505449084348e-06
-9.21281763862095e-06,1.63083327727484e-05,-0.000353564683662862,5.54075380226247e-07,4.69538769976226e-05,2.71142303861992e-06,-8.24563013830712e-06,4.87174599955862e-11,-8.21080593725462,9.92278263729066e-06,5.34278988845485e-06,-8.89147476055712e-06
-1.11747180811515e-05,1.55759836177843e-05,-0.000348227254595,5.60371183697024e-07,4.67488320687737e-05,2.70292627580821e-06,-8.24563016278632e-06,4.92010650983633e-11,-8.21079947774114,9.92556817773449e-06,5.57704926215279e-06,-8.87793486452716e-06
-1.31584809020889e-05,1.48544332233057e-05,-0.00034314364328657,5.67713305362501e-07,4.65381348833551e-05,2.69339692682703e-06,-8.24563018725267e-06,4.96841917496859e-11,-8.21079284285451,9.92838780880467e-06,5.81026902306693e-06,-8.86444003745425e-06
-1.51640563238719e-05,1.41445608388712e-05,-0.000338314154261969,5.7608792804781e-07,4.632240164033e-05,2.68286422224873e-06,-8.24563021169886e-06,5.01668391251793e-11,-8.21078603223228,9.93124672886031e-06,6.04242245616034e-06,-8.8509953700712e-06
-1.71914146390778e-05,1.34472178230528e-05,-0.000333738587141278,5.85478218599033e-07,4.61022349296114e-05,2.67135823939924e-06,-8.24563023611758e-06,5.06490064061884e-11,-8.21077904553346,9.93415005959171e-06,6.27348589365608e-06,-8.83760580478475e-06
-1.92405454760387e-05,1.27632269022557e-05,-0.000329416255895283,5.95864425290367e-07,4.58782230909093e-05,2.65890985439783e-06,-8.24563026050142e-06,5.11306927927657e-11,-8.21077188243839,9.93710283117984e-06,6.50343864534857e-06,-8.82427613155825e-06
-2.1311457073252e-05,1.20933814730601e-05,-0.000325346008564834,6.07223977807825e-07,4.56509396033819e-05,2.6455506965241e-06,-8.24563028484301e-06,5.16118974936634e-11,-8.21076454264856,9.9401099679658e-06,6.73226292580733e-06,-8.81101098403274e-06
-2.34041755236447e-05,1.14384449430168e-05,-0.000321526247275754,6.1953160645343e-07,4.54209425319053e-05,2.63131309783423e-06,-8.24563030913487e-06,5.20926197350378e-11,-8.21075702588649,9.94317627464743e-06,6.95994377867161e-06,-8.79781483588684e-06
-2.55187440280382e-05,1.0799150125296e-05,-0.000317954948056167,6.32759439363598e-07,4.51887740272878e-05,2.6162300457839e-06,-8.24563033336954e-06,5.2572858755404e-11,-8.21074933189542,9.94630642300688e-06,7.18646899830144e-06,-8.78469199744748e-06
-2.76552221303747e-05,1.01761986747747e-05,-0.000314629680880764,6.46877124781838e-07,4.49549598790586e-05,2.60033513208672e-06,-8.24563035753949e-06,5.30526138146446e-11,-8.21074146043913,9.94950493922469e-06,7.41182904907857e-06,-8.77164661253109e-06
